unit,track,ten_file,tieu_de,link_trang_unit,link_track,link_mp3,thoi_luong
3,3,AudioTrack_03_03.mp3,Track 3,https://efc-audiotrack.github.io/u3/,https://efc-audiotrack.github.io/u3/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_03_03.mp3,
3,4,AudioTrack_03_04.mp3,Track 4,https://efc-audiotrack.github.io/u3/,https://efc-audiotrack.github.io/u3/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_03_04.mp3,
3,5,AudioTrack_03_05.mp3,Track 5,https://efc-audiotrack.github.io/u3/,https://efc-audiotrack.github.io/u3/#t5,https://efc-audiotrack.github.io/audio/AudioTrack_03_05.mp3,
4,1,AudioTrack_04_01.mp3,Track 1,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_04_01.mp3,
4,2,AudioTrack_04_02.mp3,Track 2,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_04_02.mp3,
4,3,AudioTrack_04_03.mp3,Track 3,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_04_03.mp3,
4,4,AudioTrack_04_04.mp3,Track 4,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_04_04.mp3,
4,5,AudioTrack_04_05.mp3,Track 5,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t5,https://efc-audiotrack.github.io/audio/AudioTrack_04_05.mp3,
4,6,AudioTrack_04_06.mp3,Track 6,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t6,https://efc-audiotrack.github.io/audio/AudioTrack_04_06.mp3,
4,7,AudioTrack_04_07.mp3,Track 7,https://efc-audiotrack.github.io/u4/,https://efc-audiotrack.github.io/u4/#t7,https://efc-audiotrack.github.io/audio/AudioTrack_04_07.mp3,
5,1,AudioTrack_05_01.mp3,Track 1,https://efc-audiotrack.github.io/u5/,https://efc-audiotrack.github.io/u5/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_05_01.mp3,
5,2,AudioTrack_05_02.mp3,Track 2,https://efc-audiotrack.github.io/u5/,https://efc-audiotrack.github.io/u5/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_05_02.mp3,
5,3,AudioTrack_05_03.mp3,Track 3,https://efc-audiotrack.github.io/u5/,https://efc-audiotrack.github.io/u5/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_05_03.mp3,
5,4,AudioTrack_05_04.mp3,Track 4,https://efc-audiotrack.github.io/u5/,https://efc-audiotrack.github.io/u5/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_05_04.mp3,
6,1,AudioTrack_06_01.mp3,Track 1,https://efc-audiotrack.github.io/u6/,https://efc-audiotrack.github.io/u6/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_06_01.mp3,
6,2,AudioTrack_06_02.mp3,Track 2,https://efc-audiotrack.github.io/u6/,https://efc-audiotrack.github.io/u6/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_06_02.mp3,
6,3,AudioTrack_06_03.mp3,Track 3,https://efc-audiotrack.github.io/u6/,https://efc-audiotrack.github.io/u6/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_06_03.mp3,
6,4,AudioTrack_06_04.mp3,Track 4,https://efc-audiotrack.github.io/u6/,https://efc-audiotrack.github.io/u6/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_06_04.mp3,
7,1,AudioTrack_07_01.mp3,Track 1,https://efc-audiotrack.github.io/u7/,https://efc-audiotrack.github.io/u7/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_07_01.mp3,
7,2,AudioTrack_07_02.mp3,Track 2,https://efc-audiotrack.github.io/u7/,https://efc-audiotrack.github.io/u7/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_07_02.mp3,
7,3,AudioTrack_07_03.mp3,Track 3,https://efc-audiotrack.github.io/u7/,https://efc-audiotrack.github.io/u7/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_07_03.mp3,
8,1,AudioTrack_08_01.mp3,Track 1,https://efc-audiotrack.github.io/u8/,https://efc-audiotrack.github.io/u8/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_08_01.mp3,
8,2,AudioTrack_08_02.mp3,Track 2,https://efc-audiotrack.github.io/u8/,https://efc-audiotrack.github.io/u8/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_08_02.mp3,
8,3,AudioTrack_08_03.mp3,Track 3,https://efc-audiotrack.github.io/u8/,https://efc-audiotrack.github.io/u8/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_08_03.mp3,
8,4,AudioTrack_08_04.mp3,Track 4,https://efc-audiotrack.github.io/u8/,https://efc-audiotrack.github.io/u8/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_08_04.mp3,
8,5,AudioTrack_08_05.mp3,Track 5,https://efc-audiotrack.github.io/u8/,https://efc-audiotrack.github.io/u8/#t5,https://efc-audiotrack.github.io/audio/AudioTrack_08_05.mp3,
9,1,AudioTrack_09_01.mp3,Track 1,https://efc-audiotrack.github.io/u9/,https://efc-audiotrack.github.io/u9/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_09_01.mp3,
9,2,AudioTrack_09_02.mp3,Track 2,https://efc-audiotrack.github.io/u9/,https://efc-audiotrack.github.io/u9/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_09_02.mp3,
9,3,AudioTrack_09_03.mp3,Track 3,https://efc-audiotrack.github.io/u9/,https://efc-audiotrack.github.io/u9/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_09_03.mp3,
10,1,AudioTrack_10_01.mp3,Track 1,https://efc-audiotrack.github.io/u10/,https://efc-audiotrack.github.io/u10/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_10_01.mp3,
10,2,AudioTrack_10_02.mp3,Track 2,https://efc-audiotrack.github.io/u10/,https://efc-audiotrack.github.io/u10/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_10_02.mp3,
10,3,AudioTrack_10_03.mp3,Track 3,https://efc-audiotrack.github.io/u10/,https://efc-audiotrack.github.io/u10/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_10_03.mp3,
